idanalytics;analytics_date;analytics_user_key;analytics_session_key;analytics_event_type;analytics_data
2;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;4767e917-8cea-2975-6497-efe87e3c2d3d;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
3;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;4767e917-8cea-2975-6497-efe87e3c2d3d;USERAGENT;"{""action"":""Chrome 79"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
4;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;4767e917-8cea-2975-6497-efe87e3c2d3d;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
5;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;4767e917-8cea-2975-6497-efe87e3c2d3d;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
6;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;4767e917-8cea-2975-6497-efe87e3c2d3d;COUNTRY;"{""action"":""Spain"",""lon"":null,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":null}"
7;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;4767e917-8cea-2975-6497-efe87e3c2d3d;ELEMENTSET;"{""action"":{""elementId"":""1"",""name"":""Pendiente Beatle"",""properties"":[{""name"":""Pendiente Beatle"",""type"":""material"",""value"":""color_2"",""group"":""mat_pendiente_beatle""},{""name"":""Pendiente Beatle_status"",""type"":""status"",""value"":""U""},{""name"":""Enganche Beatle"",""type"":""material"",""value"":""color_2"",""group"":""mat_enganche_beatle""},{""name"":""Enganche Beatle_status"",""type"":""status"",""value"":""U""}]},""label"":""ELEMENTSET"",""category"":""ELEMENTSET""}"
8;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;55596aec-618f-f0d2-464b-6296a59f3153;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
9;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;55596aec-618f-f0d2-464b-6296a59f3153;USERAGENT;"{""action"":""Chrome 79"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
10;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;55596aec-618f-f0d2-464b-6296a59f3153;DEVICE;"{""action"":{""logicalCpu"":8,""screen"":{""availableWidth"":1536,""availableHeight"":826,""width"":1536,""isTouchScreen"":false,""height"":864}},""label"":""DEVICE"",""category"":""DEVICE""}"
11;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;55596aec-618f-f0d2-464b-6296a59f3153;LANGUAGE;"{""action"":""es"",""label"":""LANGUAGE"",""category"":""LANGUAGE""}"
12;1,58E+12;6b9bcf51-7cd1-bf31-fd62-af6b0bd3aa8e;55596aec-618f-f0d2-464b-6296a59f3153;COUNTRY;"{""action"":""Spain"",""lon"":-1.9783680000000001,""label"":""COUNTRY"",""category"":""COUNTRY"",""lat"":43.283251199999995}"
13;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;PAGEVIEW;"{""action"":""http:\/\/localhost:8084\/BIGFASH\/"",""label"":""PAGEVIEW"",""category"":""PAGEVIEW""}"
14;1,58E+12;81d123af-2e39-6e88-8f6b-171c46363d0d;5d1e48de-8871-bbd4-af77-c412cf263a1c;USERAGENT;"{""action"":""Chrome 80"",""label"":""USERAGENT"",""category"":""USERAGENT""}"
