,date,today_orders,day_week,month,temperature,precipitation,condition,holiday
0,2016-01-01,,5,1,5,0.1,1,1
1,2016-01-02,,6,1,10,0.3,1,0
2,2016-01-03,,7,1,8,0.4,1,0
3,2016-01-04,,1,1,8,0.0,0,0
4,2016-01-05,,2,1,8,0.0,0,0
5,2016-01-06,,3,1,7,0.0,0,0
6,2016-01-07,,4,1,7,0.5,1,0
7,2016-01-08,,5,1,6,0.0,0,0
8,2016-01-09,,6,1,9,0.2,1,0
9,2016-01-10,,7,1,6,0.1,1,0
10,2016-01-11,,1,1,6,0.6,1,0
11,2016-01-12,,2,1,5,0.0,0,0
12,2016-01-13,,3,1,5,0.0,0,0
13,2016-01-14,,4,1,3,0.0,0,0
14,2016-01-15,,5,1,3,0.0,0,0
15,2016-01-16,,6,1,2,0.0,0,0
16,2016-01-17,,7,1,2,0.0,0,0
17,2016-01-18,,1,1,3,0.0,0,0
18,2016-01-19,,2,1,0,0.0,0,0
19,2016-01-20,,3,1,1,0.0,0,0
20,2016-01-21,,4,1,4,0.0,0,0
21,2016-01-22,,5,1,7,0.0,0,0
22,2016-01-23,,6,1,7,0.0,0,0
23,2016-01-24,,7,1,12,0.0,0,0
24,2016-01-25,,1,1,11,0.0,0,0
25,2016-01-26,,2,1,9,0.1,1,0
26,2016-01-27,,3,1,11,0.0,0,0
27,2016-01-28,,4,1,6,0.0,0,0
28,2016-01-29,,5,1,11,0.0,0,0
29,2016-01-30,,6,1,8,0.3,1,0
30,2016-01-31,,7,1,9,0.1,1,0
31,2016-02-01,,1,2,12,0.0,0,0
32,2016-02-02,,2,2,8,0.0,0,0
33,2016-02-03,,3,2,5,0.0,0,0
34,2016-02-04,,4,2,9,0.0,0,0
35,2016-02-05,,5,2,10,0.0,0,0
36,2016-02-06,,6,2,10,0.0,0,0
37,2016-02-07,,7,2,7,0.2,1,0
38,2016-02-08,,1,2,8,0.5,1,0
39,2016-02-09,,2,2,5,0.0,0,0
40,2016-02-10,,3,2,5,0.0,0,0
41,2016-02-11,,4,2,3,0.0,0,0
42,2016-02-12,,5,2,4,0.0,0,0
43,2016-02-13,,6,2,4,0.0,0,0
44,2016-02-14,,7,2,4,0.1,1,0
45,2016-02-15,,1,2,3,0.0,0,0
46,2016-02-16,,2,2,3,0.0,0,0
47,2016-02-17,,3,2,4,0.0,0,0
48,2016-02-18,,4,2,4,0.2,1,0
49,2016-02-19,,5,2,5,0.1,1,0
50,2016-02-20,,6,2,10,0.1,1,0
51,2016-02-21,,7,2,12,0.0,0,0
52,2016-02-22,,1,2,9,0.2,1,0
53,2016-02-23,,2,2,6,0.0,0,0
54,2016-02-24,,3,2,4,0.0,0,0
55,2016-02-25,,4,2,2,0.0,0,0
56,2016-02-26,,5,2,4,0.0,0,0
57,2016-02-27,,6,2,5,0.0,0,0
58,2016-02-28,,7,2,5,0.0,0,0
59,2016-02-29,,1,2,5,0.0,0,0
60,2016-03-01,,2,3,8,0.2,1,0
61,2016-03-02,,3,3,5,0.2,1,0
62,2016-03-03,,4,3,6,0.0,0,0
63,2016-03-04,,5,3,5,0.0,0,0
64,2016-03-05,,6,3,4,0.0,0,0
65,2016-03-06,,7,3,3,0.0,0,0
66,2016-03-07,4.0,1,3,4,0.0,0,0
67,2016-03-08,2.0,2,3,4,0.0,0,0
68,2016-03-09,4.0,3,3,7,0.6,1,0
69,2016-03-10,3.0,4,3,7,0.0,0,0
70,2016-03-11,3.0,5,3,6,0.0,0,0
71,2016-03-12,,6,3,7,0.0,0,0
72,2016-03-13,,7,3,5,0.0,0,0
73,2016-03-14,,1,3,6,0.0,0,0
74,2016-03-15,4.0,2,3,6,0.0,0,0
75,2016-03-16,2.0,3,3,7,0.0,0,0
76,2016-03-17,4.0,4,3,7,0.0,0,0
77,2016-03-18,19.0,5,3,5,0.0,0,0
78,2016-03-19,13.0,6,3,7,0.0,0,0
79,2016-03-20,6.0,7,3,7,0.0,0,0
80,2016-03-21,3.0,1,3,9,0.0,0,0
81,2016-03-22,3.0,2,3,8,0.0,0,0
82,2016-03-23,4.0,3,3,8,0.0,0,0
83,2016-03-24,1.0,4,3,8,0.1,1,0
84,2016-03-25,6.0,5,3,10,0.3,1,0
85,2016-03-26,6.0,6,3,9,0.0,0,0
86,2016-03-27,8.0,7,3,8,0.2,1,0
87,2016-03-28,7.0,1,3,8,0.9,1,0
88,2016-03-29,6.0,2,3,8,0.2,1,0
89,2016-03-30,3.0,3,3,8,0.1,1,0
90,2016-03-31,1.0,4,3,9,0.0,0,0
91,2016-04-01,10.0,5,4,8,0.0,0,0
92,2016-04-02,11.0,6,4,10,0.0,0,0
93,2016-04-03,3.0,7,4,11,0.1,1,0
94,2016-04-04,,1,4,10,0.1,1,0
95,2016-04-05,2.0,2,4,11,0.0,0,0
96,2016-04-06,2.0,3,4,9,0.0,0,0
97,2016-04-07,4.0,4,4,7,0.0,0,0
98,2016-04-08,5.0,5,4,8,0.1,1,0
99,2016-04-09,16.0,6,4,8,0.1,1,0
100,2016-04-10,3.0,7,4,8,0.0,0,0
101,2016-04-11,,1,4,11,0.1,1,0
102,2016-04-12,6.0,2,4,11,0.2,1,0
103,2016-04-13,3.0,3,4,11,0.0,0,0
104,2016-04-14,9.0,4,4,12,0.0,0,0
105,2016-04-15,6.0,5,4,10,0.6,1,0
106,2016-04-16,8.0,6,4,6,0.0,0,0
107,2016-04-17,3.0,7,4,7,0.0,0,0
108,2016-04-18,4.0,1,4,8,0.0,0,0
109,2016-04-19,,2,4,11,0.0,0,0
110,2016-04-20,7.0,3,4,9,0.0,0,0
111,2016-04-21,3.0,4,4,10,0.0,0,0
112,2016-04-22,11.0,5,4,9,0.1,1,0
113,2016-04-23,12.0,6,4,7,0.1,1,0
114,2016-04-24,7.0,7,4,7,0.0,0,0
115,2016-04-25,1.0,1,4,7,0.1,1,1
116,2016-04-26,1.0,2,4,6,0.0,0,0
117,2016-04-27,3.0,3,4,6,0.0,0,0
118,2016-04-28,4.0,4,4,7,0.2,1,1
119,2016-04-29,8.0,5,4,8,0.3,1,0
120,2016-04-30,8.0,6,4,8,0.0,0,0
121,2016-05-01,2.0,7,5,10,0.0,0,0
122,2016-05-02,10.0,1,5,12,0.0,0,1
123,2016-05-03,3.0,2,5,10,0.0,0,0
124,2016-05-04,,3,5,12,0.0,0,0
125,2016-05-05,4.0,4,5,14,0.0,0,0
126,2016-05-06,12.0,5,5,16,0.0,0,0
127,2016-05-07,5.0,6,5,18,0.0,0,0
128,2016-05-08,5.0,7,5,20,0.0,0,0
129,2016-05-09,4.0,1,5,18,0.1,1,0
130,2016-05-10,4.0,2,5,16,0.3,1,0
131,2016-05-11,4.0,3,5,16,0.9,1,0
132,2016-05-12,3.0,4,5,17,0.0,0,0
133,2016-05-13,13.0,5,5,13,0.0,0,0
134,2016-05-14,10.0,6,5,10,0.0,0,0
135,2016-05-15,5.0,7,5,12,0.0,0,0
136,2016-05-16,4.0,1,5,13,0.0,0,0
137,2016-05-17,2.0,2,5,13,0.0,0,0
138,2016-05-18,2.0,3,5,12,0.2,1,0
139,2016-05-19,6.0,4,5,13,0.0,0,0
140,2016-05-20,6.0,5,5,15,0.0,0,0
141,2016-05-21,9.0,6,5,15,0.0,0,0
142,2016-05-22,2.0,7,5,15,0.0,0,0
143,2016-05-23,5.0,1,5,15,0.0,0,0
144,2016-05-24,5.0,2,5,12,0.0,0,0
145,2016-05-25,3.0,3,5,10,0.0,0,0
146,2016-05-26,6.0,4,5,14,0.0,0,0
147,2016-05-27,15.0,5,5,15,0.0,0,0
148,2016-05-28,15.0,6,5,14,0.0,0,0
149,2016-05-29,1.0,7,5,14,0.0,0,0
150,2016-05-30,8.0,1,5,14,0.0,0,1
151,2016-05-31,6.0,2,5,12,0.7,1,0
152,2016-06-01,5.0,3,6,12,0.1,1,0
153,2016-06-02,5.0,4,6,11,0.0,0,0
154,2016-06-03,9.0,5,6,11,0.0,0,0
155,2016-06-04,11.0,6,6,15,0.0,0,0
156,2016-06-05,3.0,7,6,17,0.0,0,0
157,2016-06-06,3.0,1,6,17,0.0,0,0
158,2016-06-07,2.0,2,6,18,0.2,1,0
