,date,orders_N4,today_orders,orders_N3,month_N3,day_week_N3,temperature_N3,precipitation_N3,condition_N3,holiday_N3
70,2016-03-15,3.0,4.0,19.0,3,5,5,0.0,0,0
74,2016-03-19,4.0,13.0,3.0,3,2,8,0.0,0,0
75,2016-03-20,2.0,6.0,4.0,3,3,8,0.0,0,0
76,2016-03-21,4.0,3.0,1.0,3,4,8,0.1,1,0
77,2016-03-22,19.0,3.0,6.0,3,5,10,0.3,1,0
78,2016-03-23,13.0,4.0,6.0,3,6,9,0.0,0,0
79,2016-03-24,6.0,1.0,8.0,3,7,8,0.2,1,0
80,2016-03-25,3.0,6.0,7.0,3,1,8,0.9,1,0
81,2016-03-26,3.0,6.0,6.0,3,2,8,0.2,1,0
82,2016-03-27,4.0,8.0,3.0,3,3,8,0.1,1,0
83,2016-03-28,1.0,7.0,1.0,3,4,9,0.0,0,0
84,2016-03-29,6.0,6.0,10.0,4,5,8,0.0,0,0
85,2016-03-30,6.0,3.0,11.0,4,6,10,0.0,0,0
86,2016-03-31,8.0,1.0,3.0,4,7,11,0.1,1,0
88,2016-04-02,6.0,11.0,2.0,4,2,11,0.0,0,0
89,2016-04-03,3.0,3.0,2.0,4,3,9,0.0,0,0
91,2016-04-05,10.0,2.0,5.0,4,5,8,0.1,1,0
92,2016-04-06,11.0,2.0,16.0,4,6,8,0.1,1,0
93,2016-04-07,3.0,4.0,3.0,4,7,8,0.0,0,0
95,2016-04-09,2.0,16.0,6.0,4,2,11,0.2,1,0
96,2016-04-10,2.0,3.0,3.0,4,3,11,0.0,0,0
98,2016-04-12,5.0,6.0,6.0,4,5,10,0.6,1,0
99,2016-04-13,16.0,3.0,8.0,4,6,6,0.0,0,0
100,2016-04-14,3.0,9.0,3.0,4,7,7,0.0,0,0
103,2016-04-17,3.0,3.0,7.0,4,3,9,0.0,0,0
104,2016-04-18,9.0,4.0,3.0,4,4,10,0.0,0,0
106,2016-04-20,8.0,7.0,12.0,4,6,7,0.1,1,0
107,2016-04-21,3.0,3.0,7.0,4,7,7,0.0,0,0
108,2016-04-22,4.0,11.0,1.0,4,1,7,0.1,1,1
110,2016-04-24,7.0,7.0,3.0,4,3,6,0.0,0,0
111,2016-04-25,3.0,1.0,4.0,4,4,7,0.2,1,1
112,2016-04-26,11.0,1.0,8.0,4,5,8,0.3,1,0
113,2016-04-27,12.0,3.0,8.0,4,6,8,0.0,0,0
114,2016-04-28,7.0,4.0,2.0,5,7,10,0.0,0,0
115,2016-04-29,1.0,8.0,10.0,5,1,12,0.0,0,1
116,2016-04-30,1.0,8.0,3.0,5,2,10,0.0,0,0
118,2016-05-02,4.0,10.0,4.0,5,4,14,0.0,0,0
119,2016-05-03,8.0,3.0,12.0,5,5,16,0.0,0,0
121,2016-05-05,2.0,4.0,5.0,5,7,20,0.0,0,0
122,2016-05-06,10.0,12.0,4.0,5,1,18,0.1,1,0
123,2016-05-07,3.0,5.0,4.0,5,2,16,0.3,1,0
125,2016-05-09,4.0,4.0,3.0,5,4,17,0.0,0,0
126,2016-05-10,12.0,4.0,13.0,5,5,13,0.0,0,0
127,2016-05-11,5.0,4.0,10.0,5,6,10,0.0,0,0
128,2016-05-12,5.0,3.0,5.0,5,7,12,0.0,0,0
129,2016-05-13,4.0,13.0,4.0,5,1,13,0.0,0,0
130,2016-05-14,4.0,10.0,2.0,5,2,13,0.0,0,0
131,2016-05-15,4.0,5.0,2.0,5,3,12,0.2,1,0
132,2016-05-16,3.0,4.0,6.0,5,4,13,0.0,0,0
133,2016-05-17,13.0,2.0,6.0,5,5,15,0.0,0,0
134,2016-05-18,10.0,2.0,9.0,5,6,15,0.0,0,0
135,2016-05-19,5.0,6.0,2.0,5,7,15,0.0,0,0
136,2016-05-20,4.0,6.0,5.0,5,1,15,0.0,0,0
137,2016-05-21,2.0,9.0,5.0,5,2,12,0.0,0,0
138,2016-05-22,2.0,2.0,3.0,5,3,10,0.0,0,0
139,2016-05-23,6.0,5.0,6.0,5,4,14,0.0,0,0
140,2016-05-24,6.0,5.0,15.0,5,5,15,0.0,0,0
141,2016-05-25,9.0,3.0,15.0,5,6,14,0.0,0,0
142,2016-05-26,2.0,6.0,1.0,5,7,14,0.0,0,0
143,2016-05-27,5.0,15.0,8.0,5,1,14,0.0,0,1
144,2016-05-28,5.0,15.0,6.0,5,2,12,0.7,1,0
